item_id,item_type,item_name,det_target,det_competitor,option1,option2,option3,option4,mentioned_element,mentioned_file,unmentioned_element,unmentioned_file,picture1,picture2,picture3,picture4,question,question_file,answer_file,target_position,list,complete_answer,incomplete_answer,chunked_answer,expected_response,target,competitor,condition,DP,picture_target,picture_competitor
1,critical,wolf-dog,der,der,Wolf,Hund,holdfast,americangoldfinch,wolf,greywolf.jpg,dog,greyhound.jpg,images/greywolf.jpg,images/greyhound.jpg,images/holdfast.jpg,images/americangoldfinch.jpg,Ist das ein Bild von einem Wolf?,q_r_wolf.wav,r_t_wolf.wav,1,1,Das ist tatsächlich ein Bild von einem Wolf.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Wolf.,Wolf,Wolf,Hund,reliable,indeed,greywolf.jpg,greyhound.jpg
2,critical,crab-spider,die,die,tern,Krabbe,Spinne,lizard,crab,crab01.jpg,spider,daddylonglegs.jpg,images/tern.jpg,images/crab01.jpg,images/daddylonglegs.jpg,images/lizard.jpg,Ist das ein Bild von einer Krabbe?,q_r_krabbe.wav,r_t_krabbe.wav,2,1,Das ist tatsächlich ein Bild von einer Krabbe.,Das ist tatsächlich ein Bild von einer ...,Das ist | tatsächlich ein Bild von | einer Krabbe.,Krabbe,Krabbe,Spinne,reliable,indeed,crab01.jpg,daddylonglegs.jpg
3,critical,ant-cockroach,die,die,hyena,antelope,Ameise,Kakerlake,ant,ant.jpg,cockroach,cockroach02.jpg,images/hyena.jpg,images/antelope.jpg,images/ant.jpg,images/cockroach02.jpg,Ist das ein Bild von einer Ameise?,q_r_ameise.wav,r_t_ameise.wav,3,1,Das ist tatsächlich ein Bild von einer Ameise.,Das ist tatsächlich ein Bild von einer ...,Das ist | tatsächlich ein Bild von | einer Ameise.,Ameise,Ameise,Kakerlake,reliable,indeed,ant.jpg,cockroach02.jpg
4,critical,hippopotamus-rhinoceros,das,das,Nashorn,sealion,cedarwaxwing,Nilpferd,hippopotamus,hippopotamus.jpg,rhinoceros,rhinoceros02.jpg,images/rhinoceros02.jpg,images/sealion.jpg,images/cedarwaxwing.jpg,images/hippopotamus.jpg,Ist das ein Bild von einem Nilpferd?,q_r_nilpferd.wav,r_t_nilpferd.wav,4,1,Das ist tatsächlich ein Bild von einem Nilpferd.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Nilpferd.,Nilpferd,Nilpferd,Nashorn,reliable,indeed,hippopotamus.jpg,rhinoceros02.jpg
5,critical,chicken-rooster,das,der,Hahn,Huhn,rockbass,killerwhale,chicken,hen.jpg,rooster,rooster.jpg,images/rooster.jpg,images/hen.jpg,images/rockbass.jpg,images/killerwhale.jpg,Ist das ein Bild von einem Huhn?,q_r_huhn.wav,r_t_huhn.wav,1,1,Das ist tatsächlich ein Bild von einem Huhn.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Huhn.,Huhn,Huhn,Hahn,reliable,indeed,hen.jpg,rooster.jpg
6,critical,panda-polar-bear,der,der,warthog,Eisbär,Panda,alligator,panda,panda.jpg,polar-bear,polarbear.jpg,images/warthog.jpg,images/polarbear.jpg,images/panda.jpg,images/alligator.jpg,Ist das ein Bild von einem Panda?,q_r_panda.wav,r_t_panda.wav,2,1,Das ist tatsächlich ein Bild von einem Panda.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Panda.,Panda,Panda,Eisbär,reliable,indeed,panda.jpg,polarbear.jpg
7,critical,tiger-lion,der,der,bluejay,beaver,Löwe,Tiger,tiger,tiger02.jpg,lion,lion.jpg,images/bluejay.jpg,images/beaver.jpg,images/lion.jpg,images/tiger02.jpg,Ist das ein Bild von einem Tiger?,q_r_tiger.wav,r_t_tiger.wav,3,1,Das ist tatsächlich ein Bild von einem Tiger.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Tiger.,Tiger,Tiger,Löwe,reliable,indeed,tiger02.jpg,lion.jpg
8,critical,horse-camel,das,das,Pferd,jackrabbit,stingray,Kamel,horse,horse.jpg,camel,dromedary.jpg,images/horse.jpg,images/jackrabbit.jpg,images/stingray.jpg,images/dromedary.jpg,Ist das ein Bild von einem Pferd?,q_r_pferd.wav,r_t_pferd.wav,4,1,Das ist tatsächlich ein Bild von einem Pferd.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Pferd.,Pferd,Pferd,Kamel,reliable,indeed,horse.jpg,dromedary.jpg
9,critical,fox-raccoon,der,der,Fuchs,Waschbär,seal,falcon,fox,redfox.jpg,raccoon,raccoon.jpg,images/redfox.jpg,images/raccoon.jpg,images/seal.jpg,images/falcon.jpg,Ist das ein Bild von einem Fuchs?,q_r_fuchs.wav,r_t_fuchs.wav,1,1,Das ist tatsächlich ein Bild von einem Fuchs.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Fuchs.,Fuchs,Fuchs,Waschbär,reliable,indeed,redfox.jpg,raccoon.jpg
10,critical,dragonfly-moth,die,die,tortoise01,Libelle,Motte,cat,dragonfly,dragonfly01.jpg,moth,moth.jpg,images/tortoise01.jpg,images/dragonfly01.jpg,images/moth.jpg,images/cat.jpg,Ist das ein Bild von einer Libelle?,q_r_libelle.wav,r_t_libelle.wav,2,1,Das ist tatsächlich ein Bild von einer Libelle.,Das ist tatsächlich ein Bild von einer ...,Das ist | tatsächlich ein Bild von | einer Libelle.,Libelle,Libelle,Motte,reliable,indeed,dragonfly01.jpg,moth.jpg
11,critical,flamingo-turkey,der,der,narwhal,puma,Flamingo,Truthahn,flamingo,flamingo.jpg,turkey,turkey.jpg,images/narwhal.jpg,images/puma.jpg,images/flamingo.jpg,images/turkey.jpg,Ist das ein Bild von einem Flamingo?,q_r_flamingo.wav,r_t_flamingo.wav,3,2,Das ist tatsächlich ein Bild von einem Flamingo.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Flamingo.,Flamingo,Flamingo,Truthahn,reliable,indeed,flamingo.jpg,turkey.jpg
